id,name,postalCode,address,status,websiteUrl,lat,lng,openedOn,closedOn,movedToId,category,genres,relatedEntities,notes,sources
91,三豊市高瀬町朝日山資料館,767-0013,香川県三豊市高瀬町下麻3914,open,https://www.city.mitoyo.lg.jp/kakuka/kyouikuiinkai/shogai/7/982.html,,,,,,郷土博物館,,三豊市,,
92,宗吉かわらの里展示館,767-0033,香川県三豊市三野町吉津甲153-1,open,https://www.city.mitoyo.lg.jp/kakuka/kyouikuiinkai/shogai/3_1/1_1/2697.html,,,,,,博物館,瓦,三豊市,,
93,三豊市文書館,768-0103,香川県三豊市山本町財田西375,open,https://www.city.mitoyo.lg.jp/section/bunsho/index.html,,,,,,公文書館,,三豊市,,
94,Kトレインワールド,769-1501,香川県三豊市豊中町比地大2509-8,open,https://k-train.kilo.jp/,,,,,,博物館,乗り物,,,
95,粟島海洋記念会館,769-1108,香川県三豊市詫間町粟島1541,open,https://www.mitoyo-kanko.com/facility/awashimamuseum/,,,,,,博物館,船,,,
96,三豊市詫間町紫雲出山遺跡館,769-1104,香川県三豊市詫間町大浜乙451-1,open,https://www.city.mitoyo.lg.jp/kakuka/kyouikuiinkai/shogai/7/984.html,,,,,,郷土博物館,,三豊市,,
97,三豊市詫間町民俗資料館・考古館,769-1101,香川県三豊市詫間町詫間1328-10,open,https://www.city.mitoyo.lg.jp/kakuka/kyouikuiinkai/shogai/3_1/mitoyoshitakumatyouminnzokusiryoukannkoukokann/index.html,,,,,,郷土博物館,,三豊市,,
98,オリーブ記念館,761-4434,香川県小豆郡小豆島町西村甲1941-1 道の駅 小豆島オリーブ公園内,open,https://www.olive-pk.jp/map/memorial.html,,,,,,博物館,オリーブ,一般財団法人小豆島オリーブ公園,,
99,二十四の瞳映画村,761-4424,香川県小豆郡小豆島町田浦甲931,open,https://www.24hitomi.or.jp/,,,,,,映画村,,二十四の瞳映画村,,
100,壺井栄文学館,761-4424,香川県小豆郡小豆島町田浦甲931 二十四の瞳映画村内,open,https://www.24hitomi.or.jp/tuboisakae/,,,,,,博物館,文学,二十四の瞳映画村,,
101,キネマの庵,761-4424,香川県小豆郡小豆島町田浦甲931 二十四の瞳映画村内,open,https://www.24hitomi.or.jp/kinema/,,,,,,博物館,"歴史, 映画",二十四の瞳映画村,,
102,Gallery KUROgO,761-4424,香川県小豆郡小豆島町田浦甲931 二十四の瞳映画村内,open,https://www.24hitomi.or.jp/kurogo/,,,,,,ギャラリー,,二十四の瞳映画村,,
103,マルキン醤油記念館,761-4421,香川県小豆郡小豆島町苗羽甲1850,open,https://marukin.moritakk.com/kinenkan/,,,,,,博物館,"歴史, 科学, 醤油",盛田株式会社,,
104,妖怪美術館,761-4106,香川県小豆郡土庄町甲398,open,https://yokaimuseum.on-the-trip.com/,,,,,,美術館,妖怪,小豆島ヘルシーランド株式会社,,
105,かどや製油 今昔館,761-4101,香川県小豆郡土庄町甲6188 かどや製油株式会社 小豆島工場 事務棟 2F,open,https://www.kadoya.com/enjoy/page04.html,,,,,,博物館,"歴史, 醤油",かどや製油株式会社,,
106,小野川直樹美術館,761-4100,香川県小豆郡土庄町字東元浜甲289-33,open,https://meipam.net/,,,,,,美術館,折り紙,小豆島ヘルシーランド株式会社,,
